GRASP_Variant V.10.38c    Instrument:  ILL_d11_plus2025 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  D2O-1mm 
Start: 27-Oct-25  00:17:48   End: 27-Oct-25  01:17:48 
  
Foreground:  72122 , Loaded: 72065+72074+72081+72122,72066+72075+72082,72067+72076+72083,72068+72077+72084,72085+72114,72086+72115,72087,72088+72116,72117,72118,72119,72120,72123,72124,72125,72126,72158,72159,72160,72161,72162,72163,72164,72165,72166,72204,72205,72206,72207,72208,72209,72210,72211,72212,72213,72214,72236,72237 
Background:  72127 , Loaded: 72073+72064+72080+72127 
Blocked Beam:  72079 , Loaded: 72072+72079 
  
Beam Centre1 [x, y]:  [125, 95.2]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1  256    1  192]  :  Numor #72069 
Beam Centre2 [x, y]:  [14.8, 126]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1   32    1  256]  :  Numor #0 
Beam Centre3 [x, y]:  [14.8, 126]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1   32    1  256]  :  Numor #0 
Transmissions:  Ts = 0.93681 +/- 0.0011573  Te = 0.95954 +/- 0.0010271 
Transmission Numors: Ts:  #72152/ #72157;  ROI:  121  132   99  109 
Transmission Numors: Te:  #72157/ #72089;  ROI:  121  132   99  109 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D11_plus Detector Parallax 
Data: Corrected for Detector Efficiency 
Data: Corrected for Relative Detector Efficiency (variation between detector panels) 
Data: Divided by Volume 
Sample Thickness is: 0.1 [cm] 
Solid Angle Correction: 
Divide data by Empty Beam Flux, I0, from worksheet: I0 Beam Intensity 3 2 
I0 Numor #72069   ROI: 110  145   87  104    1 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Instrument Setup Parameters ***** 
Sample-Det(detcalc)1 Dist (m): 38.9 
Sample-Det(detcalc)2 Dist (m): 38.795 
Sample-Det(detcalc)3 Dist (m): 38.795 
Collimation (m): 34.4 
Wavelength: 9, Delta Wav: 0.09 
Total Det Counts: 174340 
Total Monitor Counts: 39993487 
  
***** Analysis ***** 
Merge IQ through Worksheet Number 
Numors:  72122 
Averaging I vs. Q.  Bin size:  5 [Fractional Resolution]  log10 
 
 
***** Data ***** 
Mod_Q	I	Err_I	Sigma_Q	
 
 
0.0199374	0.0385686	0.00479434	0.000807403
0.0205161	0.0303569	0.00468839	0.000826719
0.0211039	0.0399427	0.00454654	0.00084812
0.021696	0.036089	0.0043187	0.00086691
0.0222951	0.027945	0.00440643	0.000887705
0.0229058	0.0352641	0.00424766	0.000909332
0.0235229	0.0358242	0.00418612	0.000931596
0.0241472	0.0399039	0.00413412	0.000953312
0.0247786	0.04121	0.00393662	0.000974313
0.0254182	0.0289083	0.00383873	0.000997077
0.0260563	0.0406388	0.00379896	0.00102077
0.0267066	0.0374325	0.00366908	0.001043
0.0273657	0.0475649	0.0037085	0.00106596
0.0280354	0.0441196	0.00350836	0.00108896
0.0287125	0.0350773	0.00350116	0.00111519
0.0293919	0.0323675	0.0033324	0.00113766
0.0300851	0.0399387	0.00327849	0.00116293
0.0307904	0.035545	0.0031674	0.00118933
0.0315013	0.0370338	0.00319905	0.00121333
0.0322197	0.036025	0.00307701	0.00123932
0.0329533	0.0351682	0.00307064	0.00126582
0.0336884	0.0375375	0.00296703	0.00129332
0.0344376	0.0359198	0.00304199	0.00132044
0.0351964	0.037698	0.00301917	0.00134542
0.0359738	0.0350683	0.00294308	0.00137483
0.036749	0.0349752	0.00280683	0.00140122
0.0375375	0.0382525	0.00278596	0.00143114
0.0383408	0.041339	0.00278525	0.00145939
0.039152	0.0330713	0.00269911	0.00148668
0.0399773	0.0395622	0.00261476	0.00151906
0.0408186	0.0359258	0.00256836	0.00154802
0.0416654	0.038198	0.00255556	0.00157921
0.0425253	0.0384772	0.00249478	0.00161094
0.0433983	0.0355143	0.00244893	0.00164311
0.0442841	0.0381919	0.00239109	0.00167578
0.0451878	0.0338347	0.00237938	0.00170723
0.0460934	0.0368252	0.00232927	0.00174065
0.0470192	0.0393079	0.0022638	0.00177481
0.0479629	0.0355777	0.00224331	0.00180965
0.048911	0.0337221	0.00227911	0.00184086
0.0498802	0.0350626	0.00231123	0.00187659
0.0508617	0.0333528	0.00228648	0.0019128
0.051858	0.0355312	0.00234945	0.00194956
0.0528725	0.0342388	0.00242771	0.00198701
0.0538882	0.037171	0.00254642	0.00202452
0.0549278	0.0365776	0.00266551	0.0020629
0.0559881	0.0384227	0.00282629	0.00210209
0.0570636	0.0364869	0.00317566	0.00214182
0.0581525	0.0339808	0.00337449	0.00218458
0.0592586	0.0360537	0.00381274	0.00222553
0.0603894	0.0358206	0.00424368	0.00227237
0.0615324	0.035551	0.0044402	0.00232745
0.0635519	0.0352731	0.00326431	0.00258679
0.0670047	0.0378616	0.000671849	0.00277798
0.0701705	0.0370678	0.000135723	0.00288806
0.0733291	0.0374065	0.000130415	0.00299157
0.0765932	0.0372193	0.000125201	0.00310038
0.0798794	0.037273	0.000123324	0.0032098
0.0831679	0.0373481	0.000120111	0.00332113
0.0864969	0.0371438	0.000116624	0.00343317
0.0898466	0.0371989	0.000114585	0.00354814
0.0931894	0.0372277	0.000112393	0.00366165
0.096587	0.037242	0.000108807	0.00377947
