GRASP_Variant V.10.38c    Instrument:  ILL_d11_plus2025 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  NIPAM-567-6-2p5pc 
Start: 27-Oct-25  11:03:34   End: 27-Oct-25  12:03:34 
  
Foreground:  72159 , Loaded: 72065+72074+72081+72122,72066+72075+72082,72067+72076+72083,72068+72077+72084,72085+72114,72086+72115,72087,72088+72116,72117,72118,72119,72120,72123,72124,72125,72126,72158,72159,72160,72161,72162,72163,72164,72165,72166,72204,72205,72206,72207,72208,72209,72210,72211,72212,72213,72214,72236,72237 
Background: Sum 72073+72064+72080+72127 , Loaded: 72073+72064+72080+72127 
Blocked Beam: Sum 72072+72079 , Loaded: 72072+72079 
  
Beam Centre1 [x, y]:  [125, 95.2]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1  256    1  192]  :  Numor #72069 
Beam Centre2 [x, y]:  [14.8, 126]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1   32    1  256]  :  Numor #0 
Beam Centre3 [x, y]:  [14.8, 126]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1   32    1  256]  :  Numor #0 
Transmissions:  Ts = 0.93024 +/- 0.0014645  Te = 0.95954 +/- 0.0010271 
Transmission Numors: Ts:  #72154/ #72157;  ROI:  121  132   99  109 
Transmission Numors: Te:  #72157/ #72089;  ROI:  121  132   99  109 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D11_plus Detector Parallax 
Data: Corrected for Detector Efficiency 
Data: Corrected for Relative Detector Efficiency (variation between detector panels) 
Data: Divided by Volume 
Sample Thickness is: 0.1 [cm] 
Solid Angle Correction: 
Divide data by Empty Beam Flux, I0, from worksheet: I0 Beam Intensity 3 19 
I0 Numor #72069   ROI: 110  145   87  104    1 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Instrument Setup Parameters ***** 
Sample-Det(detcalc)1 Dist (m): 38.9 
Sample-Det(detcalc)2 Dist (m): 38.795 
Sample-Det(detcalc)3 Dist (m): 38.795 
Collimation (m): 34.4 
Wavelength: 9, Delta Wav: 0.09 
Total Det Counts: 638115 
Total Monitor Counts: 29577211 
  
***** Analysis ***** 
Merge IQ through Worksheet Number 
Numors:  72159 
Averaging I vs. Q.  Bin size:  5 [Fractional Resolution]  log10 
 
 
***** Data ***** 
Mod_Q	I	Err_I	Sigma_Q	
 
 
0.000919404	171.733	6.74396	0.000270882
0.00106635	156.865	4.07032	0.000271626
0.00120379	150.37	2.44157	0.000272378
0.00134115	143.928	1.91314	0.00027326
0.0014783	134.709	1.63246	0.000274216
0.00161805	130.68	1.48434	0.000275254
0.00175817	124.043	1.32817	0.000276439
0.00190041	120.12	1.21563	0.000277694
0.00204233	114.436	1.14345	0.000279056
0.00218479	107.553	1.04842	0.000280515
0.00232687	104.854	1.00757	0.00028203
0.00247001	97.7311	0.916809	0.000283694
0.00261547	93.8573	0.875025	0.000285428
0.0027612	88.8849	0.817195	0.000288058
0.00290767	81.8199	0.766711	0.000289989
0.0030551	78.2574	0.730375	0.000292032
0.00320283	72.6898	0.688339	0.000294161
0.0033513	69.8872	0.645245	0.000296553
0.00350174	64.7392	0.582839	0.000298774
0.00365338	61.5329	0.559648	0.000301397
0.00380343	56.266	0.522431	0.000303802
0.00395677	52.9362	0.490407	0.000306664
0.00411096	49.3434	0.463454	0.000309452
0.00426562	45.0633	0.429706	0.00031265
0.00442304	41.983	0.409962	0.000315244
0.00458171	39.1711	0.386185	0.000318524
0.00474027	36.4314	0.362243	0.000321783
0.00490004	33.4912	0.34742	0.000324974
0.00506249	30.7207	0.329154	0.000328011
0.00522578	28.2124	0.30927	0.000331773
0.00539209	26.343	0.297505	0.00033531
0.00555831	23.9208	0.282403	0.00033943
0.00572445	22.6988	0.267203	0.000343449
0.00589549	20.9472	0.251429	0.000347512
0.00606752	18.7301	0.243811	0.000351205
0.00623945	17.4808	0.231805	0.000355298
0.00641549	16.234	0.215925	0.000359477
0.0065932	15.0434	0.209622	0.000363641
0.00677123	13.8842	0.198516	0.000368081
0.00695286	12.6491	0.184463	0.000372839
0.00713629	11.7601	0.181309	0.000377264
0.00732118	11.484	0.176587	0.000382178
0.00750945	10.2298	0.163334	0.000387111
0.00769799	9.5715	0.162662	0.000392632
0.00788895	8.88463	0.153096	0.000397993
0.00808401	8.23511	0.146175	0.000403386
0.00828156	7.75031	0.142989	0.000408327
0.00847982	7.18053	0.134747	0.000414064
0.00868076	6.5692	0.132464	0.000419689
0.00888667	6.29009	0.128396	0.000425358
0.00909174	6.01207	0.125788	0.000431338
0.00930067	5.42932	0.125392	0.000438089
0.00951383	4.94878	0.119913	0.00044423
0.00972924	4.93965	0.113583	0.000450527
0.00994634	4.54898	0.111465	0.000456668
0.0101661	4.21235	0.105465	0.000463353
0.0103882	4.06234	0.107082	0.000469776
0.0106164	3.90919	0.102413	0.000476717
0.010846	3.73834	0.0984943	0.000483749
0.0110799	3.40644	0.0969979	0.000491459
0.0113153	3.30035	0.0955392	0.000498852
0.0116902	3.03171	0.0625959	0.000526851
0.0120686	2.76132	0.0875725	0.00052244
0.0123198	2.65044	0.0854175	0.000530566
0.0125726	2.49481	0.0811813	0.000538314
0.0128304	2.41104	0.0784722	0.000546722
0.0130907	2.21524	0.0825127	0.000555247
0.0133582	2.21048	0.0794316	0.000564047
0.0136226	2.09691	0.0807485	0.000572801
0.0138967	2.07237	0.0872342	0.000581914
0.0141721	1.94121	0.0982344	0.000591096
0.0144541	1.79109	0.0978989	0.00060007
0.0147374	1.81781	0.107195	0.000609578
0.0151321	1.628	0.0926244	0.000637516
0.0155697	1.45263	0.127366	0.000639553
0.015972	1.55384	0.100886	0.000668427
0.016539	1.39874	0.0619231	0.000693973
0.0170983	1.26243	0.0168937	0.00071407
0.0176553	1.1546	0.0158035	0.000732112
0.01822	1.10241	0.0153369	0.000750623
0.0187841	1.01468	0.0144955	0.00076911
0.0193574	0.987782	0.0138276	0.00078806
0.0199374	0.90073	0.0131781	0.000807403
0.0205161	0.833669	0.01252	0.000826719
0.0211039	0.798932	0.0118758	0.00084812
0.021696	0.734429	0.0113696	0.00086691
