GRASP_Variant V.10.38c    Instrument:  ILL_d11_plus2025 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  PEG-PNIPAM-596-24-1p25 
Start: 28-Oct-25  03:48:28   End: 28-Oct-25  04:48:28 
  
Foreground:  72236 , Loaded: 72065+72074+72081+72122,72066+72075+72082,72067+72076+72083,72068+72077+72084,72085+72114,72086+72115,72087,72088+72116,72117,72118,72119,72120,72123,72124,72125,72126,72158,72159,72160,72161,72162,72163,72164,72165,72166,72204,72205,72206,72207,72208,72209,72210,72211,72212,72213,72214,72236,72237 
Background: Sum 72073+72064+72080+72127 , Loaded: 72073+72064+72080+72127 
Blocked Beam: Sum 72072+72079 , Loaded: 72072+72079 
  
Beam Centre1 [x, y]:  [125, 95.2]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1  256    1  192]  :  Numor #72069 
Beam Centre2 [x, y]:  [14.8, 126]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1   32    1  256]  :  Numor #0 
Beam Centre3 [x, y]:  [14.8, 126]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1   32    1  256]  :  Numor #0 
Transmissions:  Ts = 0.87517 +/- 0.0014104  Te = 0.95954 +/- 0.0010271 
Transmission Numors: Ts:  #72223/ #72157;  ROI:  121  132   99  109 
Transmission Numors: Te:  #72157/ #72089;  ROI:  121  132   99  109 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D11_plus Detector Parallax 
Data: Corrected for Detector Efficiency 
Data: Corrected for Relative Detector Efficiency (variation between detector panels) 
Data: Divided by Volume 
Sample Thickness is: 0.2 [cm] 
Solid Angle Correction: 
Divide data by Empty Beam Flux, I0, from worksheet: I0 Beam Intensity 3 38 
I0 Numor #72069   ROI: 110  145   87  104    1 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Instrument Setup Parameters ***** 
Sample-Det(detcalc)1 Dist (m): 38.9 
Sample-Det(detcalc)2 Dist (m): 38.795 
Sample-Det(detcalc)3 Dist (m): 38.795 
Collimation (m): 34.4 
Wavelength: 9, Delta Wav: 0.09 
Total Det Counts: 1250438 
Total Monitor Counts: 29615016 
  
***** Analysis ***** 
Merge IQ through Worksheet Number 
Numors:  72236 
Averaging I vs. Q.  Bin size:  5 [Fractional Resolution]  log10 
 
 
***** Data ***** 
Mod_Q	I	Err_I	Sigma_Q	
 
 
0.000919404	144.605	3.78607	0.000270882
0.00106635	143.463	2.40513	0.000271626
0.00120379	148.412	1.5361	0.000272378
0.00134115	145.8	1.25784	0.00027326
0.0014783	138.883	1.09946	0.000274216
0.00161805	134.579	1.0165	0.000275254
0.00175817	129.783	0.930286	0.000276439
0.00190041	126.528	0.864038	0.000277694
0.00204233	121.424	0.819082	0.000279056
0.00218479	118.453	0.767129	0.000280515
0.00232687	111.926	0.730199	0.00028203
0.00247001	107.916	0.67814	0.000283694
0.00261547	102.747	0.643808	0.000285428
0.0027612	98.8004	0.609238	0.000288058
0.00290767	93.6061	0.576566	0.000289989
0.0030551	89.1215	0.548119	0.000292032
0.00320283	84.8735	0.522064	0.000294161
0.0033513	80.2603	0.488412	0.000296553
0.00350174	76.1849	0.446968	0.000298774
0.00365338	71.0245	0.422571	0.000301397
0.00380343	66.9088	0.401402	0.000303802
0.00395677	63.3304	0.377165	0.000306664
0.00411096	58.8512	0.354098	0.000309452
0.00426562	55.5509	0.332906	0.00031265
0.00442304	52.3149	0.318904	0.000315244
0.00458171	47.8622	0.296066	0.000318524
0.00474027	45.3298	0.281356	0.000321783
0.00490004	42.6789	0.269416	0.000324974
0.00506249	39.4089	0.256416	0.000328011
0.00522578	36.7061	0.23932	0.000331773
0.00539209	33.9129	0.22756	0.00033531
0.00555831	31.9694	0.220893	0.00033943
0.00572445	29.3447	0.204541	0.000343449
0.00589549	27.3243	0.192083	0.000347512
0.00606752	25.7343	0.188596	0.000351205
0.00623945	23.3905	0.176098	0.000355298
0.00641549	21.8669	0.165296	0.000359477
0.0065932	20.6641	0.160974	0.000363641
0.00677123	18.8113	0.150788	0.000368081
0.00695286	17.6225	0.141048	0.000372839
0.00713629	16.0011	0.136073	0.000377264
0.00732118	14.8704	0.128592	0.000382178
0.00750945	13.5835	0.120074	0.000387111
0.00769799	12.7288	0.117979	0.000392632
0.00788895	11.5925	0.109607	0.000397993
0.00808401	10.6946	0.103566	0.000403386
0.00828156	9.96861	0.100639	0.000408327
0.00847982	9.29985	0.0949125	0.000414064
0.00868076	8.22376	0.0900098	0.000419689
0.00888667	7.69883	0.0867909	0.000425358
0.00909174	7.14126	0.0839021	0.000431338
0.00930067	6.70629	0.0832371	0.000438089
0.00951383	6.13062	0.0783716	0.00044423
0.00972924	5.50059	0.0725627	0.000450527
0.00994634	5.0767	0.0704612	0.000456668
0.0101661	4.67865	0.0663831	0.000463353
0.0103882	4.30117	0.065471	0.000469776
0.0106164	3.94949	0.061878	0.000476717
0.010846	3.59697	0.0586954	0.000483749
0.0110799	3.24849	0.0570649	0.000491459
0.0113153	2.98366	0.0552841	0.000498852
0.0116902	2.60506	0.0356792	0.000526851
0.0120686	2.24129	0.0490505	0.00052244
0.0123198	1.98804	0.0470296	0.000530566
0.0125726	1.83067	0.0445703	0.000538314
0.0128304	1.66873	0.0426179	0.000546722
0.0130907	1.49284	0.0442872	0.000555247
0.0133582	1.34074	0.0420569	0.000564047
0.0136226	1.22524	0.042543	0.000572801
0.0138967	1.12039	0.0454755	0.000581914
0.0141721	0.99076	0.05082	0.000591096
0.0144541	0.843243	0.0501199	0.00060007
0.0147374	0.851546	0.054917	0.000609578
0.0151321	0.786206	0.0477342	0.000637516
0.0155697	0.70713	0.0658557	0.000639553
0.015972	0.661158	0.0512283	0.000668427
0.016539	0.615776	0.0316552	0.000693973
0.0170983	0.544695	0.00816121	0.00071407
0.0176553	0.50607	0.00769227	0.000732112
0.01822	0.482419	0.00747398	0.000750623
0.0187841	0.452552	0.00711591	0.00076911
0.0193574	0.434657	0.00675189	0.00078806
0.0199374	0.421844	0.00660831	0.000807403
0.0205161	0.396993	0.00632589	0.000826719
0.0211039	0.393433	0.00608577	0.00084812
0.021696	0.374699	0.00591303	0.00086691
0.0222951	0.352733	0.00564312	0.000887705
0.0229058	0.333813	0.00536156	0.000909332
0.0235229	0.315291	0.00512448	0.000931596
0.0241472	0.301357	0.00494471	0.000953312
0.0247786	0.287805	0.00471023	0.000974313
0.0254182	0.272926	0.00458005	0.000997077
0.0260563	0.260239	0.00436875	0.00102077
0.0267066	0.245223	0.00417202	0.001043
0.0273657	0.23857	0.00405349	0.00106596
0.0280354	0.231871	0.00390269	0.00108896
0.0287125	0.219212	0.00381292	0.00111519
0.0293919	0.213381	0.00366154	0.00113766
0.0300851	0.211069	0.00354292	0.00116293
0.0307904	0.19997	0.00340608	0.00118933
0.0315013	0.196717	0.00338856	0.00121333
0.0322197	0.194961	0.00327102	0.00123932
0.0329533	0.187536	0.00317559	0.00126582
0.0336884	0.179212	0.00307044	0.00129332
0.0344376	0.175529	0.00310214	0.00132044
0.0351964	0.172675	0.00304985	0.00134542
0.0359738	0.168964	0.00297614	0.00137483
0.036749	0.15849	0.00279259	0.00140122
0.0375375	0.158974	0.00273636	0.00143114
0.0383408	0.155031	0.00267596	0.00145939
0.039152	0.152846	0.00262589	0.00148668
0.0399773	0.152693	0.00253257	0.00151906
0.0408186	0.143274	0.00244043	0.00154802
0.0416654	0.138959	0.00239375	0.00157921
0.0425253	0.130647	0.0022896	0.00161094
0.0433983	0.132071	0.00227117	0.00164311
