GRASP_Variant V.10.38c    Instrument:  ILL_d11_plus2025 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  D2O-2mm 
Start: 27-Oct-25  04:18:12   End: 27-Oct-25  05:18:12 
  
Foreground:  72126 , Loaded: 72065+72074+72081+72122,72066+72075+72082,72067+72076+72083,72068+72077+72084,72085+72114,72086+72115,72087,72088+72116,72117,72118,72119,72120,72123,72124,72125,72126,72158,72159,72160,72161,72162,72163,72164,72165,72166,72204,72205,72206,72207,72208,72209,72210,72211,72212,72213,72214,72236,72237 
Background: Sum 72073+72064+72080+72127 , Loaded: 72073+72064+72080+72127 
Blocked Beam: Sum 72072+72079 , Loaded: 72072+72079 
  
Beam Centre1 [x, y]:  [125, 95.2]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1  256    1  192]  :  Numor #72069 
Beam Centre2 [x, y]:  [14.8, 126]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1   32    1  256]  :  Numor #0 
Beam Centre3 [x, y]:  [14.8, 126]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1   32    1  256]  :  Numor #0 
Transmissions:  Ts = 0.87729 +/- 0.001106  Te = 0.95954 +/- 0.0010271 
Transmission Numors: Ts:  #72156/ #72157;  ROI:  121  132   99  109 
Transmission Numors: Te:  #72157/ #72089;  ROI:  121  132   99  109 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D11_plus Detector Parallax 
Data: Corrected for Detector Efficiency 
Data: Corrected for Relative Detector Efficiency (variation between detector panels) 
Data: Divided by Volume 
Sample Thickness is: 0.2 [cm] 
Solid Angle Correction: 
Divide data by Empty Beam Flux, I0, from worksheet: I0 Beam Intensity 3 17 
I0 Numor #72069   ROI: 110  145   87  104    1 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Instrument Setup Parameters ***** 
Sample-Det(detcalc)1 Dist (m): 38.9 
Sample-Det(detcalc)2 Dist (m): 38.795 
Sample-Det(detcalc)3 Dist (m): 38.795 
Collimation (m): 34.4 
Wavelength: 9, Delta Wav: 0.09 
Total Det Counts: 112835 
Total Monitor Counts: 29685985 
  
***** Analysis ***** 
Merge IQ through Worksheet Number 
Numors:  72126 
Averaging I vs. Q.  Bin size:  5 [Fractional Resolution]  log10 
 
 
***** Data ***** 
Mod_Q	I	Err_I	Sigma_Q	
 
 
0.0193574	0.0434118	0.00328875	0.00078806
0.0199374	0.0334834	0.00311061	0.000807403
0.0205161	0.0390426	0.00314248	0.000826719
0.0211039	0.0406596	0.00302066	0.00084812
0.021696	0.0387827	0.00292198	0.00086691
0.0222951	0.0365777	0.00292725	0.000887705
0.0229058	0.039008	0.00282781	0.000909332
0.0235229	0.0413657	0.00280622	0.000931596
0.0241472	0.0386009	0.00271354	0.000953312
0.0247786	0.0385252	0.00260666	0.000974313
0.0254182	0.0349564	0.00255564	0.000997077
0.0260563	0.0376372	0.0025073	0.00102077
0.0267066	0.0355716	0.00241903	0.001043
0.0273657	0.041485	0.00244438	0.00106596
0.0280354	0.0395928	0.00233641	0.00108896
0.0287125	0.0380581	0.00233837	0.00111519
0.0293919	0.0358622	0.00222462	0.00113766
0.0300851	0.042258	0.00222422	0.00116293
0.0307904	0.0421967	0.00217393	0.00118933
0.0315013	0.0398547	0.0021576	0.00121333
0.0322197	0.0384043	0.00206974	0.00123932
0.0329533	0.0386129	0.00205637	0.00126582
0.0336884	0.0422067	0.00203267	0.00129332
0.0344376	0.0359929	0.00201744	0.00132044
0.0351964	0.0393861	0.00202941	0.00134542
0.0359738	0.0390897	0.00199059	0.00137483
0.036749	0.0380685	0.00189355	0.00140122
0.0375375	0.0385473	0.00186401	0.00143114
0.0383408	0.0390244	0.00184687	0.00145939
0.039152	0.0396867	0.00183016	0.00148668
0.0399773	0.0422224	0.00177731	0.00151906
0.0408186	0.0390483	0.00172979	0.00154802
0.0416654	0.0383671	0.00170875	0.00157921
0.0425253	0.0389332	0.00167006	0.00161094
0.0433983	0.0396487	0.00165676	0.00164311
0.0442841	0.0407829	0.00161542	0.00167578
0.0451878	0.0401187	0.00160942	0.00170723
0.0460934	0.038653	0.00156683	0.00174065
0.0470192	0.0383274	0.00151306	0.00177481
0.0479629	0.0404405	0.00152597	0.00180965
0.048911	0.0387121	0.00153388	0.00184086
0.0498802	0.0390975	0.00155911	0.00187659
0.0508617	0.0385437	0.00153931	0.0019128
0.051858	0.0388851	0.0015746	0.00194956
0.0528725	0.0386519	0.00163163	0.00198701
0.0538882	0.0391893	0.00170669	0.00202452
0.0549278	0.0407824	0.00180463	0.0020629
0.0559881	0.0391111	0.00188674	0.00210209
0.0570636	0.0385729	0.0021105	0.00214182
0.0581525	0.034511	0.00223871	0.00218458
0.0592586	0.0354981	0.00253981	0.00222553
0.0603894	0.0412947	0.00294135	0.00227237
0.0615324	0.0414931	0.00314301	0.00232745
0.0635519	0.0326103	0.00206287	0.00258679
0.0670047	0.0392902	0.000387941	0.00277798
0.0701705	0.0398047	0.0001197	0.00288806
0.0733291	0.0398316	0.000114989	0.00299157
0.0765932	0.0398264	0.000110569	0.00310038
0.0798794	0.0398086	0.000108917	0.0032098
0.0831679	0.0399445	0.000106223	0.00332113
0.0864969	0.0397125	0.00010305	0.00343317
0.0898466	0.0399574	0.000101534	0.00354814
0.0931894	0.0399047	9.94807e-05	0.00366165
0.096587	0.0398072	9.62733e-05	0.00377947
0.100033	0.039889	9.43758e-05	0.00389819
0.103498	0.0396683	9.20768e-05	0.00401837
0.106997	0.0398412	9.05281e-05	0.00414052
0.110521	0.0398422	8.84125e-05	0.00428952
0.114072	0.0397021	8.66553e-05	0.00441361
0.117659	0.0398667	8.50646e-05	0.00451948
0.12131	0.0398493	8.26075e-05	0.00464738
0.124981	0.0399281	8.20299e-05	0.00477704
0.128654	0.0397363	8.01809e-05	0.00490712
0.132356	0.0398364	7.90101e-05	0.00503801
0.136114	0.0396759	7.69424e-05	0.00517079
0.139886	0.0398044	7.65357e-05	0.00530538
0.143726	0.0396618	7.38928e-05	0.00544229
0.14763	0.0398458	7.31376e-05	0.00560396
0.151571	0.0398342	7.14107e-05	0.00574398
0.155564	0.0397889	7.06233e-05	0.005886
0.159561	0.0399375	6.96843e-05	0.00602839
0.163604	0.039929	6.82303e-05	0.00617308
0.167716	0.039804	6.64545e-05	0.00632029
0.171871	0.0398807	6.57454e-05	0.0064692
0.176061	0.0398495	6.44043e-05	0.00661947
0.180358	0.0399293	6.2362e-05	0.00679401
0.184689	0.0399064	6.19179e-05	0.0069491
0.189033	0.0399825	6.08218e-05	0.00710483
0.193461	0.0400077	5.91355e-05	0.00726362
0.197942	0.0398979	5.83873e-05	0.0074249
0.202473	0.0400253	5.71524e-05	0.00758808
0.207023	0.0399378	5.65523e-05	0.00775202
0.211685	0.0398993	5.90422e-05	0.00793882
0.216388	0.0399068	5.96163e-05	0.00810927
0.221186	0.0400407	6.05129e-05	0.00828891
0.226035	0.039924	5.83136e-05	0.00847046
0.230988	0.0400852	5.68985e-05	0.00863613
0.235952	0.0399319	5.41804e-05	0.00882155
0.240977	0.0400542	5.24984e-05	0.00899892
0.246089	0.0398379	5.07616e-05	0.00918968
0.251271	0.0399584	4.96261e-05	0.00938303
0.256516	0.0399675	4.8389e-05	0.00957876
0.261857	0.0398484	4.71229e-05	0.00977802
0.267298	0.0398441	4.59618e-05	0.00998102
0.272801	0.0398117	4.52196e-05	0.0101863
0.278373	0.0398515	4.40905e-05	0.0103942
0.284019	0.0398504	4.33501e-05	0.0105947
0.289691	0.0398827	4.33488e-05	0.0108061
0.295526	0.0399043	4.39024e-05	0.0110237
0.301428	0.0397553	4.39378e-05	0.0112437
0.307396	0.0398804	4.41379e-05	0.0114419
0.313473	0.0398842	4.37944e-05	0.0116679
0.319665	0.0398277	4.37153e-05	0.0118983
0.325901	0.0397986	4.5414e-05	0.0121303
0.332113	0.0398615	5.0075e-05	0.0123519
0.338631	0.0400031	5.85691e-05	0.0125943
0.345174	0.0400457	6.56503e-05	0.0128376
0.351819	0.0399813	7.52206e-05	0.0130846
0.358511	0.0402366	8.90644e-05	0.0133335
0.365262	0.0402631	0.00011023	0.0135845
0.372245	0.0403274	0.000146434	0.0138441
0.379313	0.0401675	0.000189795	0.014107
0.385965	0.0403874	0.00029512	0.0143543
0.391605	0.0392487	0.000960375	0.014564
